"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3088","should display correct quantity when adding same product multiple times","firefox","Sun Nov 30 09:14:34 UTC 2025","passed","Sun Nov 30 09:14:37 UTC 2025","Product and Cart functionality","","",""
"","7920","should successfully complete checkout flow with payment","firefox","Sun Nov 30 09:14:37 UTC 2025","passed","Sun Nov 30 09:14:45 UTC 2025","Checkout Flow","","",""
"","1420","should find specific product when searching","chromium","Sun Nov 30 09:14:07 UTC 2025","passed","Sun Nov 30 09:14:08 UTC 2025","Search functionality","","",""
"","3076","Verify login with valid credentials","webkit","Sun Nov 30 09:15:43 UTC 2025","passed","Sun Nov 30 09:15:46 UTC 2025","Verify login functionality","","",""
"","3866","should successfully register a new user with complete information","webkit","Sun Nov 30 09:16:02 UTC 2025","passed","Sun Nov 30 09:16:06 UTC 2025","User Sign Up","","",""
"","5533","should show error when trying to sign up with existing email","chromium","Sun Nov 30 09:14:12 UTC 2025","passed","Sun Nov 30 09:14:18 UTC 2025","User Sign Up","","",""
"","7050","should successfully add a product to cart","webkit","Sun Nov 30 09:15:16 UTC 2025","passed","Sun Nov 30 09:15:23 UTC 2025","Product and Cart functionality","","",""
"","2487","Verify login with invalid email","webkit","Sun Nov 30 09:15:46 UTC 2025","passed","Sun Nov 30 09:15:49 UTC 2025","Verify login functionality","","",""
"","1663","should find specific product when searching","firefox","Sun Nov 30 09:14:56 UTC 2025","passed","Sun Nov 30 09:14:57 UTC 2025","Search functionality","","",""
"","4144","should successfully remove a product from cart","webkit","Sun Nov 30 09:15:28 UTC 2025","passed","Sun Nov 30 09:15:32 UTC 2025","Product and Cart functionality","","",""
"","1321","should successfully search for a product by name","chromium","Sun Nov 30 09:14:05 UTC 2025","passed","Sun Nov 30 09:14:07 UTC 2025","Search functionality","","",""
"","7362","should successfully complete checkout flow with payment","webkit","Sun Nov 30 09:15:36 UTC 2025","passed","Sun Nov 30 09:15:43 UTC 2025","Checkout Flow","","",""
"","2360","Verify login with invalid password","webkit","Sun Nov 30 09:15:49 UTC 2025","passed","Sun Nov 30 09:15:51 UTC 2025","Verify login functionality","","",""
"","2864","should successfully search for a product by name","webkit","Sun Nov 30 09:15:55 UTC 2025","passed","Sun Nov 30 09:15:58 UTC 2025","Search functionality","","",""
"","2051","should find specific product when searching","webkit","Sun Nov 30 09:15:58 UTC 2025","passed","Sun Nov 30 09:16:00 UTC 2025","Search functionality","","",""
"","6273","should show error when trying to sign up with existing email","firefox","Sun Nov 30 09:15:02 UTC 2025","passed","Sun Nov 30 09:15:08 UTC 2025","User Sign Up","","",""
"","2779","Verify logout functionality","chromium","Sun Nov 30 09:14:03 UTC 2025","passed","Sun Nov 30 09:14:05 UTC 2025","Verify login functionality","","",""
"","3790","should successfully delete a user account","firefox","Sun Nov 30 09:15:11 UTC 2025","passed","Sun Nov 30 09:15:15 UTC 2025","User Sign Up","","",""
"","4473","should successfully delete a user account","webkit","Sun Nov 30 09:16:17 UTC 2025","passed","Sun Nov 30 09:16:21 UTC 2025","User Sign Up","","",""
"","950","should not allow sign up with invalid email format","chromium","Sun Nov 30 09:14:18 UTC 2025","passed","Sun Nov 30 09:14:19 UTC 2025","User Sign Up","","",""
"","1378","should handle search with no results","chromium","Sun Nov 30 09:14:08 UTC 2025","passed","Sun Nov 30 09:14:09 UTC 2025","Search functionality","","",""
